sense,honor,curse,despise,situation,antihuman,roughness,slaughter,strike_support,depression_rate
2.728,2.631,2.434,1.877,2.587,1.72,0.646,0.187,2.689,0.315
1.827,1.959,1.429,1.301,2.351,1.112,0.401,0.384,1.86,0.0
0.662,0.652,0.303,0.536,1.809,0.764,0.118,0.0,1.377,0.027
0.707,0.268,0.076,0.186,1.541,0.01,0.0,0.0,1.128,0.0
1.382,1.174,0.884,0.84,1.758,0.542,0.125,0.112,1.26,0.197
3.25,3.059,2.816,2.229,2.491,2.057,0.542,0.396,2.838,0.25
3.659,3.063,3.098,3.016,3.175,2.435,1.927,1.088,2.931,0.497
2.824,2.353,2.121,1.582,2.373,0.948,0.231,0.13,2.363,0.145
2.363,1.871,1.669,1.2,2.279,1.069,0.033,0.004,1.647,0.115
1.707,1.526,1.193,1.111,2.108,0.609,0.638,0.374,1.902,0.017
0.949,1.256,0.772,0.521,1.954,1.03,0.568,0.545,1.845,0.176
2.627,2.405,2.202,1.712,2.14,1.118,0.411,0.327,2.408,0.272
1.824,1.594,1.467,1.371,1.827,0.626,0.253,0.121,1.764,0.019
2.844,2.657,2.472,1.997,2.463,1.875,1.215,0.719,3.009,0.451
1.181,0.925,0.51,0.54,2.069,0.845,0.065,0.004,1.172,0.0
2.484,2.301,2.185,1.679,2.841,1.554,0.252,0.176,2.224,0.189
2.251,1.48,1.264,1.124,2.103,0.69,0.607,0.126,1.456,0.154
2.321,2.38,2.056,1.727,2.128,1.076,0.367,0.327,2.341,0.33
1.926,1.579,1.532,1.175,2.29,1.108,0.289,0.0,1.836,0.366
4.0,3.908,3.836,3.147,3.173,2.013,1.068,0.61,3.353,0.638
2.967,2.294,2.247,1.883,2.182,1.27,0.104,0.179,2.198,0.283
2.61,2.543,2.219,1.766,2.439,1.286,0.144,0.108,2.406,0.191
2.671,2.657,1.908,1.638,2.319,1.187,0.849,0.611,2.338,0.322
2.71,2.562,1.896,1.76,2.524,1.971,1.603,1.267,2.906,0.202
2.033,1.835,1.806,1.509,2.031,1.185,0.141,0.0,1.676,0.101
1.121,1.134,1.072,0.972,1.895,0.906,0.477,0.496,1.32,0.107
2.788,2.572,2.267,1.753,2.357,1.73,0.594,0.276,2.12,0.239
2.957,2.717,1.986,1.881,2.492,1.528,0.572,0.197,2.431,0.292
1.489,1.587,0.74,0.509,1.872,0.887,0.15,0.204,1.542,0.051
1.656,1.893,1.173,1.393,2.054,1.418,0.96,0.378,1.98,0.252
2.008,2.072,1.654,1.297,2.272,1.062,0.474,0.182,2.416,0.266
2.728,2.417,1.853,1.478,2.539,1.386,1.459,1.195,2.421,0.561
1.035,0.548,0.375,0.512,1.654,0.331,0.028,0.0,1.221,0.0
2.76,2.799,2.689,2.564,2.538,2.02,0.817,0.252,2.761,0.343
3.503,3.673,3.426,2.927,2.831,1.692,1.038,0.269,3.032,0.66
1.405,1.282,0.802,0.689,1.949,0.499,0.246,0.163,1.797,0.012
3.266,3.414,3.062,2.794,2.867,1.978,0.893,0.0,3.009,0.312
2.671,2.62,2.462,2.205,2.371,2.06,1.148,0.774,2.35,0.446
3.033,2.709,2.365,1.758,2.322,0.831,0.0,0.0,2.357,0.0
2.604,2.653,2.263,1.829,2.486,1.546,1.562,0.733,2.334,0.545
3.144,3.34,3.08,2.999,3.376,2.704,0.945,0.602,2.895,0.794
3.576,3.203,2.958,2.702,2.865,2.267,1.569,0.57,2.862,0.699
3.498,3.511,3.419,3.041,3.363,1.928,0.367,0.198,3.271,0.401
2.277,2.332,2.548,2.002,2.584,1.397,0.504,0.417,2.397,0.059
3.308,3.192,2.743,2.261,2.959,1.548,0.68,0.236,2.772,0.485
3.322,3.201,2.766,2.402,2.892,1.728,1.207,0.904,2.755,0.636
2.733,2.382,2.19,1.697,2.481,1.119,0.52,0.258,1.914,0.327
2.784,2.546,2.456,2.363,2.475,1.98,0.763,0.561,2.136,0.334
2.984,2.893,2.601,2.116,2.627,1.757,0.534,0.258,2.54,0.462
1.794,1.492,1.23,0.973,1.972,0.63,0.268,0.234,1.504,0.356
3.025,2.754,2.473,2.02,2.607,1.483,0.42,0.241,2.284,0.221
2.528,2.053,2.078,1.587,2.549,1.187,0.155,0.0,2.364,0.369
1.775,1.744,1.373,0.8,2.147,0.798,0.193,0.0,1.718,0.0
2.533,2.368,1.782,1.229,2.353,0.709,0.375,0.096,1.977,0.0
2.85,2.761,2.534,2.106,2.535,1.451,0.83,0.556,2.575,0.442
1.346,1.536,1.389,1.009,2.188,0.826,0.092,0.0,1.798,0.204
2.117,2.029,1.686,1.518,2.408,1.409,0.384,0.207,1.916,0.302
2.475,2.61,2.393,2.062,2.546,1.691,0.399,0.532,2.459,0.271
2.88,2.462,2.264,1.924,2.318,1.159,0.599,0.416,2.322,0.245
1.987,2.117,1.623,1.488,1.975,0.652,0.038,0.0,1.85,0.012
3.885,3.743,3.373,2.947,3.079,1.896,1.098,0.417,3.125,0.825
3.007,2.382,2.038,1.626,2.132,0.766,0.157,0.142,2.196,0.158
1.328,0.826,0.294,0.494,1.937,0.496,0.33,0.304,1.485,0.015
1.91,1.438,1.281,0.839,1.941,0.86,0.897,0.634,1.968,0.17
0.947,1.2,0.2,0.213,1.66,0.0,0.0,0.0,1.487,0.0
2.035,2.173,1.9,1.871,2.377,1.243,0.474,0.281,2.275,0.187
2.539,2.205,2.293,1.893,2.604,1.522,0.709,0.619,2.223,0.388
2.028,2.399,2.243,1.477,2.465,0.742,0.214,0.134,2.28,0.157
2.435,2.179,1.992,1.708,2.411,1.624,0.744,0.455,2.315,0.184
3.114,2.951,2.549,2.117,2.593,1.781,1.106,0.297,2.947,0.432
3.254,3.05,3.11,2.431,2.773,2.46,0.942,0.526,3.035,0.469
2.903,2.891,2.905,2.75,2.706,2.046,1.006,0.652,2.505,0.607
1.841,1.349,1.256,1.033,2.016,0.766,0.141,0.034,1.71,0.081
3.005,2.785,2.65,2.163,2.536,1.347,0.519,0.349,2.855,0.288
3.13,3.293,3.007,2.816,3.033,2.53,0.682,0.127,2.81,0.965
3.471,3.352,2.975,2.729,2.979,2.138,1.042,0.486,2.978,0.537
3.442,3.115,2.865,2.523,2.856,1.738,1.242,0.894,2.891,0.599
0.939,1.071,0.329,0.113,1.681,0.389,0.0,0.0,1.044,0.0
1.86,1.867,1.5,1.033,2.188,0.87,0.138,0.126,2.037,0.055
3.176,3.111,2.278,2.117,2.625,1.626,0.795,0.431,2.521,0.402
2.924,2.535,2.407,1.991,2.535,1.469,0.574,0.487,2.59,0.418
2.886,2.365,2.386,1.979,2.627,1.87,1.466,0.959,2.563,0.59
2.068,2.469,1.669,1.882,2.166,1.971,0.508,0.209,2.076,0.337
2.315,2.374,2.102,2.002,2.24,1.674,0.569,0.488,2.14,0.146
3.029,2.881,2.627,1.911,2.495,1.856,1.138,0.674,2.331,0.468
3.488,3.11,2.713,2.492,2.625,1.897,1.221,0.655,2.616,0.404
2.258,2.53,2.069,1.848,2.473,1.134,0.295,0.065,2.427,0.399
2.268,1.757,1.583,1.272,2.133,1.185,0.26,0.229,1.839,0.0
2.016,1.96,1.618,1.525,2.442,1.607,0.998,0.727,2.304,0.364
1.995,1.969,1.772,1.739,2.275,0.946,0.178,0.088,2.013,0.0
2.256,1.877,1.519,1.364,2.161,1.304,0.079,0.222,1.648,0.001
2.425,2.078,1.598,1.254,2.169,1.099,0.766,0.688,1.957,0.456
2.844,2.23,1.855,1.342,2.29,1.604,1.085,1.1,2.447,0.399
2.409,2.546,2.187,1.706,2.196,1.271,0.464,0.333,2.15,0.188
2.309,2.306,1.984,1.644,1.814,1.004,0.0,0.0,1.825,0.0
1.056,0.877,0.551,0.47,1.688,0.184,0.14,0.107,1.063,0.079
2.529,2.007,1.661,1.006,2.2,0.718,0.122,0.0,1.741,0.165
2.77,2.889,2.448,2.212,2.586,1.593,0.409,0.195,2.845,0.683
2.73,2.273,1.871,1.456,2.279,0.906,0.261,0.016,2.452,0.193
1.2,1.28,1.075,0.61,2.208,1.083,0.485,0.109,1.431,0.21
2.702,2.445,2.159,1.945,2.34,1.177,0.998,0.944,2.81,0.241
1.676,1.565,1.481,1.205,1.922,0.572,0.084,0.073,2.034,0.709
1.652,1.637,1.666,1.545,2.16,1.171,0.023,0.005,1.797,0.069
2.273,1.886,1.495,1.142,2.018,1.026,0.704,0.28,1.735,0.013
2.565,2.318,2.034,1.847,2.3,1.609,0.604,0.211,2.682,0.381
1.759,1.657,1.406,1.352,2.044,0.831,0.355,0.141,1.677,0.049
2.11,1.761,1.33,1.162,2.254,0.925,0.456,0.28,2.154,0.16
3.012,2.864,2.199,1.651,2.488,1.592,0.972,0.76,2.533,0.777
2.493,2.158,1.969,1.488,2.388,1.322,0.883,0.419,1.998,0.3
2.087,1.562,1.198,0.881,2.09,0.713,0.289,0.343,1.844,0.146
2.691,2.354,1.934,1.767,2.275,1.173,0.365,0.064,1.952,0.256
2.861,2.447,1.78,1.663,2.456,1.275,0.85,0.169,1.885,0.33
3.012,2.873,2.126,1.69,2.601,1.333,1.001,0.722,2.79,0.334
2.151,1.302,1.214,1.338,1.795,0.92,0.526,0.27,1.454,0.0
2.062,1.903,1.54,1.25,2.257,0.8,0.072,0.0,1.895,0.019
1.089,0.924,0.507,0.544,2.137,0.48,0.372,0.125,1.342,0.0
3.15,3.024,2.711,2.132,2.784,1.933,1.343,0.898,2.634,0.613
2.183,1.875,1.198,1.095,2.34,1.017,0.45,0.393,1.774,0.672
3.384,3.012,2.667,2.202,2.507,1.348,0.654,0.515,2.378,0.195
1.74,1.61,1.004,0.853,2.197,0.514,0.322,0.221,1.969,0.0
1.805,1.558,1.132,1.163,2.28,0.849,0.316,0.025,1.828,0.0
1.544,1.466,1.282,1.168,1.948,0.702,0.295,0.196,2.136,0.012
2.684,2.452,2.223,1.675,2.444,1.271,0.541,0.095,2.438,0.29
2.913,2.966,2.687,2.544,2.791,1.474,0.796,0.542,2.468,0.623
3.13,2.816,2.511,2.63,2.866,1.952,0.815,0.084,2.894,0.373
2.42,2.083,1.626,1.502,2.268,0.738,0.598,0.172,2.025,0.214
2.287,1.887,1.191,1.163,2.17,0.87,0.382,0.068,1.781,0.0
2.644,2.62,2.149,1.745,2.176,1.382,0.447,0.346,2.269,0.267
3.083,3.079,2.754,2.549,2.478,2.145,1.862,1.455,2.851,0.725
3.224,3.172,2.922,2.322,2.868,1.459,0.79,0.444,2.955,0.342
3.656,3.596,3.224,2.327,2.835,1.758,0.325,0.051,2.888,0.166
2.562,2.106,1.723,1.738,2.205,1.273,0.194,0.015,1.993,0.0
2.921,2.297,2.3,1.897,2.27,1.643,0.451,0.312,2.345,0.331
2.164,2.296,1.979,2.031,2.002,1.242,0.742,0.655,1.994,0.45
0.645,0.68,0.761,0.571,1.891,0.484,0.087,0.055,1.663,0.146
3.241,3.259,2.923,2.606,2.108,2.085,0.189,0.0,2.204,0.299
2.808,2.579,2.649,2.177,2.694,2.092,0.784,0.507,2.469,0.438
3.455,3.467,3.075,3.1,3.295,2.846,0.771,0.132,2.978,0.841
2.11,1.745,1.361,1.27,2.431,1.189,0.424,0.296,1.843,0.064
2.974,2.485,2.155,1.651,2.359,1.156,0.778,0.585,2.389,0.434
2.476,2.149,1.739,1.602,2.226,1.025,0.049,0.114,2.591,0.323
3.348,3.085,2.975,2.859,2.789,2.012,0.564,0.382,2.642,0.443
2.753,2.629,2.457,2.116,2.578,1.961,1.325,1.023,2.493,0.14
2.937,2.845,2.927,2.48,2.794,2.226,1.847,1.471,2.77,0.739
3.243,2.972,2.737,2.409,2.546,1.648,1.084,0.657,2.48,0.242
1.563,1.57,1.392,0.922,1.581,0.666,0.395,0.213,1.67,0.212
2.749,2.657,2.093,1.413,2.422,1.105,0.423,0.15,2.22,0.25
2.018,1.882,1.575,1.255,2.017,1.182,0.349,0.133,1.771,0.299
3.248,3.036,2.342,1.793,2.486,1.382,0.478,0.38,2.271,0.221
2.651,2.181,1.948,1.879,2.274,1.588,1.414,1.213,2.406,0.505
1.626,1.655,1.126,0.964,2.063,0.8,0.248,0.011,1.79,0.269
2.244,1.998,1.381,1.105,1.69,0.785,0.0,0.0,1.897,0.089
2.882,2.771,2.638,1.983,2.791,1.385,1.752,1.139,2.706,0.235
2.442,2.049,1.556,1.359,2.323,0.983,0.589,0.524,2.399,0.337
3.011,2.783,2.433,2.333,2.594,1.918,0.881,0.262,2.622,0.6
2.926,2.417,2.407,2.263,2.66,1.875,0.947,0.429,2.631,0.385
1.054,0.864,0.536,0.498,1.668,0.109,0.0,0.0,1.2,0.0
4.0,3.973,3.618,2.821,2.949,2.896,2.155,1.759,3.573,0.994
3.021,2.876,2.779,2.252,2.709,2.136,0.776,0.212,2.445,0.362
4.0,3.767,3.631,3.218,2.838,2.622,0.867,0.487,3.137,0.502
3.887,3.108,2.771,2.828,2.967,2.337,1.37,0.78,2.819,0.83
2.922,2.875,2.252,1.875,2.171,1.319,0.569,0.238,1.862,0.207
3.627,3.107,2.742,2.347,2.611,2.097,1.494,1.366,2.73,0.481
2.395,1.965,1.623,1.063,2.003,1.09,0.922,0.662,2.502,0.0
1.82,1.755,1.216,1.329,2.144,0.797,0.635,0.619,2.138,0.24
1.563,1.57,1.392,0.922,1.581,0.666,0.395,0.213,1.67,0.212
2.284,2.226,2.078,1.639,2.637,1.499,0.578,0.299,2.227,0.414
2.074,1.796,1.053,0.784,2.012,0.675,0.514,0.374,1.989,0.0
3.22,3.296,3.042,2.79,3.313,2.494,0.934,0.465,3.062,1.212
3.19,2.898,2.643,2.041,2.531,1.876,0.086,0.079,2.8,0.583
2.335,2.1,1.754,1.735,2.454,1.242,0.449,0.254,2.164,0.392
2.65,2.494,2.213,1.669,2.387,1.432,0.698,0.536,2.105,0.831
1.81,1.223,1.101,0.553,2.133,0.899,0.572,0.479,1.833,0.256
1.984,1.416,1.254,1.28,1.997,0.987,0.888,0.586,1.877,0.058
0.826,1.387,0.893,0.86,2.001,0.748,0.702,0.535,1.386,0.169
3.138,3.282,2.995,2.622,2.689,2.084,0.634,0.049,2.698,0.471
0.943,0.656,0.085,0.229,1.48,0.371,0.0,0.038,1.106,0.0
1.878,1.645,0.908,0.925,2.184,0.587,0.366,0.468,1.562,0.409
1.246,1.052,0.873,0.86,2.051,0.307,0.056,0.047,1.784,0.0
2.097,1.819,1.534,1.223,2.302,1.084,0.794,0.639,1.786,0.208
1.341,1.424,1.174,1.099,1.944,1.088,0.497,0.01,1.073,0.277
1.389,1.343,1.202,0.939,2.203,1.007,0.512,0.254,1.806,0.107
1.103,0.95,0.582,0.662,1.915,0.52,0.111,0.183,1.165,0.012
2.006,1.943,1.573,1.232,2.384,1.072,0.18,0.152,1.904,0.121
1.882,1.719,1.283,1.066,1.946,1.053,0.559,0.475,2.16,0.338
3.548,3.832,3.652,2.926,3.239,2.393,0.6,0.429,3.487,0.651
2.419,2.102,1.877,1.619,2.333,1.336,0.468,0.235,1.632,0.476
2.74,2.519,2.238,2.057,2.709,1.671,1.119,0.696,2.787,0.508
2.839,2.328,2.142,1.666,2.267,1.423,0.72,0.146,2.422,0.139
2.635,2.116,1.913,1.68,2.65,1.354,0.382,0.219,2.08,0.418
2.988,2.517,2.022,1.81,2.415,1.384,0.995,0.662,2.518,0.237
2.677,2.393,2.109,1.811,2.331,1.652,1.563,1.071,2.434,0.213
2.567,1.937,1.921,1.875,2.406,1.526,1.075,0.691,2.235,0.316
4.0,4.0,4.0,3.808,3.423,3.213,0.987,0.789,3.653,1.466
1.631,1.186,1.161,1.141,1.954,0.962,0.193,0.125,1.673,0.023
2.637,2.241,1.981,1.568,2.089,1.584,1.003,0.424,2.051,0.228
3.566,3.101,2.595,1.761,2.329,1.425,0.466,0.237,3.161,0.455
2.158,2.008,1.646,1.473,2.172,1.223,1.179,0.712,2.242,0.354
2.917,3.056,2.66,2.228,2.785,1.749,0.382,0.381,2.481,0.281
2.72,2.598,2.138,1.854,2.094,1.246,0.095,0.012,2.144,0.253
3.604,2.976,2.668,2.317,2.712,1.986,1.248,0.822,2.434,1.046
3.06,2.87,2.673,2.207,2.214,1.693,0.161,0.0,2.417,0.437
1.038,0.996,0.565,0.391,1.918,0.328,0.088,0.077,1.565,0.0
1.148,1.087,0.805,0.964,1.785,0.674,0.898,0.457,1.766,0.187
2.401,2.171,1.904,1.453,2.279,1.012,0.021,0.043,2.002,0.083
3.853,3.413,3.165,2.586,3.133,2.146,1.423,1.049,3.37,0.634
2.249,2.229,1.431,1.566,1.979,0.889,0.815,0.551,2.276,0.39
3.288,2.915,2.692,2.597,2.821,1.75,0.289,0.106,2.53,0.811
3.211,3.443,2.858,2.369,2.932,2.08,0.913,0.387,2.696,0.684
3.599,3.572,3.125,2.478,2.983,2.273,1.277,0.946,3.514,0.581
3.595,3.318,2.772,2.626,3.491,2.924,0.816,0.495,3.233,1.021
2.863,2.564,2.024,1.658,2.445,1.366,0.488,0.233,2.233,0.195
2.368,2.055,1.948,1.843,2.567,1.272,0.039,0.142,1.84,0.355
1.825,1.841,1.378,1.425,2.028,1.321,0.119,0.0,2.163,0.078
2.959,2.684,2.55,1.866,2.804,1.402,0.325,0.114,2.485,0.298
3.021,2.587,2.547,1.787,2.534,1.503,0.629,0.475,2.934,0.667
2.984,2.708,2.487,1.956,2.494,1.301,1.053,0.646,2.074,0.239
1.108,1.251,0.971,0.797,2.222,0.668,0.533,0.396,1.537,0.11
2.466,2.536,2.244,1.866,2.261,1.37,0.668,0.409,2.384,0.09
2.888,2.264,1.728,1.418,2.202,1.094,0.145,0.098,1.881,0.12
2.863,2.773,2.544,1.906,2.462,1.502,0.485,0.305,2.517,0.511
1.566,1.246,1.149,0.794,2.27,0.91,0.0,0.0,1.407,0.12
2.099,1.792,1.125,0.927,2.574,0.768,0.079,0.012,1.97,0.072
2.44,2.381,2.063,1.922,2.384,1.527,0.918,0.773,2.02,0.443
2.243,2.554,2.166,2.189,2.363,1.55,0.481,0.278,2.103,0.0
3.426,3.427,3.085,2.547,3.015,2.264,0.895,0.389,3.418,0.601
2.935,3.086,2.793,2.379,2.693,2.082,1.244,0.661,2.533,0.463
2.27,2.273,2.096,1.507,2.358,1.147,0.0,0.0,2.197,0.076
2.403,2.28,1.641,1.392,1.928,0.88,0.532,0.159,1.932,0.247
3.376,3.581,3.306,3.203,3.401,2.901,3.065,2.55,3.457,0.301
1.941,1.725,1.259,1.257,1.763,0.789,0.093,0.075,1.79,0.201
3.37,3.189,2.791,2.537,2.946,1.858,1.965,1.26,3.193,0.464
2.106,1.68,1.397,1.229,2.085,0.808,0.45,0.211,1.562,0.024
2.346,1.903,1.878,1.805,2.579,0.881,0.587,0.411,2.116,0.146
0.431,0.466,0.212,0.053,1.528,0.267,0.0,0.016,1.214,0.178
3.044,3.28,3.08,2.419,2.572,1.222,0.709,0.561,3.249,0.3
3.413,3.407,3.199,3.012,2.971,2.362,1.256,0.694,3.297,0.665
2.183,2.233,1.697,1.249,2.132,1.538,1.18,0.643,1.905,0.444
1.492,1.648,1.45,1.45,2.289,0.703,0.006,0.0,1.49,0.0
3.141,3.151,3.044,2.471,2.776,1.557,0.429,0.02,2.857,0.447
1.907,2.084,1.65,1.325,2.193,0.577,0.139,0.17,2.1,0.258
2.781,2.483,2.346,2.042,2.308,1.831,0.709,0.288,2.382,0.309
2.795,2.291,2.138,1.917,2.301,1.0,0.909,0.788,2.484,0.526
2.595,2.417,1.881,2.026,2.226,1.271,1.496,0.184,2.338,0.279
3.122,3.087,2.718,2.439,2.852,2.031,0.794,0.556,2.415,0.625
2.597,2.474,2.205,1.898,2.206,1.393,1.371,0.787,2.357,0.468
2.251,2.148,1.942,1.359,2.121,1.1,0.692,0.495,2.345,0.328
2.879,2.697,2.539,1.972,2.431,1.194,0.563,0.846,2.524,0.426
1.926,1.626,1.742,1.366,2.076,1.027,0.33,0.015,1.793,0.0
2.521,2.218,2.079,1.727,2.524,1.215,0.0,0.0,2.266,0.351
2.629,2.195,2.188,1.791,2.43,1.548,0.263,0.06,1.872,0.018
2.976,3.111,2.652,2.631,2.833,2.42,0.847,0.417,2.701,0.364
1.662,1.776,1.161,1.236,2.208,0.893,0.349,0.068,2.033,0.236
0.498,0.391,0.023,0.0,1.729,0.085,0.0,0.0,1.374,0.0
1.174,1.283,1.018,0.796,2.162,0.673,0.0,0.136,1.619,0.021
2.939,2.622,1.967,1.51,2.548,1.511,1.719,1.478,2.437,0.548
1.42,1.267,0.762,0.872,2.076,0.798,0.398,0.227,1.372,0.0
2.81,2.017,1.594,1.712,2.272,1.455,0.455,0.295,2.135,0.275
0.626,0.982,0.937,0.816,1.666,0.44,0.325,0.242,1.512,0.075
2.136,2.198,1.613,1.27,2.309,1.269,0.04,0.0,2.034,0.196
2.639,2.51,2.171,1.936,2.484,1.45,0.132,0.099,2.32,0.141
1.87,1.853,1.394,1.246,2.027,0.705,0.58,0.268,1.665,0.389
1.916,2.024,1.587,1.251,2.05,1.005,0.816,0.685,2.262,0.303
2.385,2.558,2.035,1.568,2.303,0.918,0.121,0.012,1.906,0.0
2.461,2.612,2.17,1.77,2.116,0.999,0.573,0.457,2.406,0.146
3.319,2.945,2.663,2.579,2.225,1.92,0.269,0.031,2.113,0.406
1.986,1.682,1.249,1.186,2.055,0.626,0.318,0.164,2.046,0.188
2.898,2.692,2.518,2.022,2.606,1.747,0.769,0.557,2.466,0.393
0.684,0.833,0.605,0.728,1.698,0.3,0.056,0.0,1.496,0.066
1.876,1.329,0.709,0.809,1.956,0.521,0.0,0.0,1.553,0.0
1.804,1.78,1.479,1.264,1.871,0.877,0.41,0.421,1.922,0.146
2.177,1.657,1.18,1.012,2.347,1.015,0.39,0.47,1.91,0.095
3.142,3.011,2.869,2.557,2.821,1.63,0.457,0.424,2.885,0.43
1.761,1.371,1.204,1.144,1.865,0.546,0.093,0.0,1.551,0.031
2.091,1.952,1.805,1.444,2.314,0.709,0.257,0.158,2.169,0.093
3.247,3.392,2.936,2.477,2.788,1.841,0.55,0.076,2.763,0.811
2.511,2.829,2.652,2.601,2.529,2.3,1.296,0.379,2.524,0.364
3.326,3.215,3.222,2.662,3.116,2.179,0.762,0.302,2.925,0.38
3.696,3.507,3.271,3.127,3.227,2.794,1.368,0.568,3.082,0.971
2.772,2.758,2.442,2.032,2.448,1.3,0.633,0.599,2.483,0.243
2.699,2.438,2.46,2.102,2.677,1.212,0.527,0.109,2.453,0.367
3.128,3.146,2.641,2.069,2.664,1.574,1.93,1.795,3.233,0.839
2.678,2.303,2.237,1.762,2.532,1.277,0.404,0.0,2.336,0.075
2.258,1.911,1.661,1.228,1.964,0.68,0.43,0.433,1.921,0.115
2.622,2.449,1.831,1.78,2.548,1.397,0.298,0.338,2.234,0.179
2.01,2.034,1.535,1.094,1.961,0.96,0.732,0.0,1.984,0.0
3.47,3.221,2.849,2.72,2.777,2.485,1.393,1.35,3.029,0.995
3.99,4.0,3.572,2.907,3.325,2.555,3.041,2.089,3.922,0.751
3.011,2.886,2.689,2.23,2.594,1.856,0.746,0.657,2.678,0.326
3.153,2.941,2.587,2.22,2.705,1.774,1.121,0.901,2.668,0.149
2.571,2.11,1.935,1.261,2.113,0.774,0.0,0.0,2.025,0.064
2.405,2.054,1.849,1.915,2.251,1.646,0.704,0.354,2.015,0.44
0.846,0.926,0.427,0.351,1.645,0.034,0.203,0.023,1.323,0.022
